1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
7439 ; dhr. ; U.S. ;  ; Smitstra ; ouder ; Groeneweg ; 20 ; Stolwijk ; 2821 ST ; 06-55338721 ; 0182-338721 ; Smitstra@hotmailing.com
7446 ; mw. ; V.S. ;  ; Swiersema ; ouder ; Koekoekstraat ; 30 ; Gouda ; 2802 CC ; 06-55442916 ; 0182-442916 ; Swiersema@planeet.nl
7453 ; dhr. ; W.T. ;  ; Tolstra ; ouder ; Wilhelminastraat ; 7 ; Gouda ; 2801 XK ; 06-55547209 ; 0182-547209 ; Tolstra@hetweb.nl
7460 ; mw. ; X.V. ;  ; Vollinga ; ouder ; Albrechtsveld ; 17 ; Gouda ; 2804 WB ; 06-55651600 ; 0182-651600 ; Vollinga@xs4you.nl
7467 ; dhr. ; Y.W. ;  ; Wiertsema ; ouder ; Burgemeester Gaarlandtsingel ; 27 ; Gouda ; 2802 TD ; 06-55756089 ; 0182-756089 ; Wiertsema@zoggi.nl
7474 ; mw. ; Z.Z. ;  ; Zijlema ; ouder ; 's-Gravenbroekseweg ; 4 ; Reeuwijk ; 2811 GG ; 06-55860676 ; 0182-860676 ; Zijlema@freeweb.com
7481 ; dhr. ; A.A. ;  ; Asma ; ouder ; Veenzoom ; 14 ; Gouda ; 2804 CK ; 06-55965361 ; 0182-965361 ; Asma@gmailer.com
7488 ; mw. ; B.B. ; van ; Beukinga ; ouder ; Walmolenerf ; 24 ; Gouda ; 2807 DG ; 06-56070144 ; 0182-70144 ; Beukinga@hotmailing.com
7495 ; dhr. ; C.B. ;  ; Bossema ; ouder ; Eerste Everhardus Johannes Potgieterstraat ; 1 ; Gouda ; 2802 LE ; 06-56175025 ; 0182-175025 ; Bossema@planeet.nl
7502 ; mw. ; D.C. ;  ; Copinga ; ouder ; Postbus ; 11 ; Stolwijk ; 2820 AB ; 06-56280004 ; 0182-280004 ; Copinga@hetweb.nl
7509 ; dhr. ; E.E. ;  ; Elenga ; ouder ; Van Vreumingenstraat ; 21 ; Gouda ; 2801 AV ; 06-56385081 ; 0182-385081 ; Elenga@xs4you.nl
7516 ; mw. ; F.G. ; de ; Geertruida ; ouder ; Bovenkerkseweg ; 31 ; Stolwijk ; 2821 XW ; 06-56490256 ; 0182-490256 ; Geertruida@zoggi.nl
7523 ; dhr. ; G.H. ;  ; Harenga ; ouder ; Wilhelmina van Pruisenlaan ; 8 ; Gouda ; 2807 KG ; 06-56595529 ; 0182-595529 ; Harenga@freeweb.com
7530 ; mw. ; H.H. ; van de ; Hillinga ; ouder ; Olympiadeplein ; 18 ; Gouda ; 2807 BH ; 06-56700900 ; 0182-700900 ; Hillinga@gmailer.com
7537 ; dhr. ; I.I. ;  ; Iepma ; ouder ; Dorus Rijkersstraat ; 28 ; Reeuwijk ; 2811 XN ; 06-56806369 ; 0182-806369 ; Iepma@hotmailing.com
7544 ; mw. ; J.K. ;  ; Kalma ; ouder ; Veldzoom ; 5 ; Stolwijk ; 2821 ZE ; 06-56911936 ; 0182-911936 ; Kalma@planeet.nl
7551 ; dhr. ; K.K. ;  ; Korringa ; ouder ; Jan Tinbergenstraat ; 15 ; Reeuwijk ; 2811 DZ ; 06-57017601 ; 0182-17601 ; Korringa@hetweb.nl
7558 ; mw. ; L.L. ; Voogdholst ; voogd ; ouder ; Burgemeester Gaarlandtsingel ; 25 ; Gouda ; 2802 TE ; 06-57123364 ; 0182-123364 ; Lootstra@xs4you.nl
7565 ; dhr. ; M.O. ;  ; Offinga ; ouder ; Loevestein ; 2 ; Gouda ; 2804 EV ; 06-57229225 ; 0182-229225 ; Offinga@zoggi.nl
7572 ; mw. ; N.P. ;  ; Portena ; ouder ; Beatrixlaan ; 12 ; Reeuwijk ; 2811 LX ; 06-57335184 ; 0182-335184 ; Portena@freeweb.com
7579 ; dhr. ; O.R. ;  ; Ringia ; ouder ; Sint Josephstraat ; 22 ; Gouda ; 2806 WK ; 06-57441241 ; 0182-441241 ; Ringia@gmailer.com
7586 ; mw. ; P.S. ;  ; Schijfsma ; ouder ; Lage Gouwe ; 32 ; Gouda ; 2801 LG ; 06-57547396 ; 0182-547396 ; Schijfsma@hotmailing.com
7593 ; dhr. ; Q.S. ;  ; Siksma ; ouder ; Van Goghstraat ; 9 ; Reeuwijk ; 2811 TB ; 06-57653649 ; 0182-653649 ; Siksma@planeet.nl
7600 ; mw. ; R.S. ;  ; Stiemstra ; ouder ; Terwenstraat ; 19 ; Gouda ; 2804 JW ; 06-57760000 ; 0182-760000 ; Stiemstra@hetweb.nl
7607 ; dhr. ; S.T. ;  ; Tiesjema ; ouder ; Turfsingel ; 29 ; Gouda ; 2802 BB ; 06-57866449 ; 0182-866449 ; Tiesjema@xs4you.nl
7614 ; mw. ; T.V. ;  ; Veldsema ; ouder ; Swanenburghshofje ; 6 ; Gouda ; 2801 ZG ; 06-57972996 ; 0182-972996 ; Veldsema@zoggi.nl
7621 ; dhr. ; U.W. ;  ; Westera ; ouder ; Berkenbroek ; 16 ; Reeuwijk ; 2811 NZ ; 06-58079641 ; 0182-79641 ; Westera@freeweb.com
7628 ; mw. ; V.Y. ; van ; Ykema ; ouder ; Justus van Effenpad ; 26 ; Gouda ; 2806 SX ; 06-58186384 ; 0182-186384 ; Ykema@gmailer.com
7635 ; dhr. ; W.A. ;  ; Alleda ; ouder ; IJssellaan ; 3 ; Gouda ; 2806 TM ; 06-58293225 ; 0182-293225 ; Alleda@hotmailing.com
7642 ; mw. ; X.B. ;  ; Beerstra ; ouder ; Vossiusstraat ; 13 ; Gouda ; 2802 XP ; 06-58400164 ; 0182-400164 ; Beerstra@planeet.nl
7649 ; dhr. ; Y.B. ;  ; Bokkema ; ouder ; Willem Vroesenplein ; 23 ; Gouda ; 2801 PR ; 06-58507201 ; 0182-507201 ; Bokkema@hetweb.nl
7656 ; mw. ; Z.B. ; de ; Bruursema ; ouder ; Keizerstraat ; 33 ; Gouda ; 2801 NK ; 06-58614336 ; 0182-614336 ; Bruursema@xs4you.nl
7663 ; dhr. ; A.D. ;  ; Drilsma ; ouder ; Oudeweg ; 10 ; Reeuwijk ; 2811 NM ; 06-58721569 ; 0182-721569 ; Drilsma@zoggi.nl
7670 ; mw. ; B.F. ;  ; Fokstra ; ouder ; Vossenburchkade ; 20 ; Gouda ; 2805 PC ; 06-58828900 ; 0182-828900 ; Fokstra@freeweb.com
7677 ; dhr. ; C.H. ;  ; Haarsma ; ouder ; Kandeelstraat ; 30 ; Gouda ; 2801 WG ; 06-58936329 ; 0182-936329 ; Haarsma@gmailer.com
7684 ; mw. ; D.H. ;  ; Hemstra ; ouder ; Eendrachtsweg ; 7 ; Gouda ; 2806 MC ; 06-59043856 ; 0182-43856 ; Hemstra@hotmailing.com
7691 ; dhr. ; E.H. ;  ; Houkema ; ouder ; Lange Tiendeweg ; 17 ; Gouda ; 2801 KK ; 06-59151481 ; 0182-151481 ; Houkema@planeet.nl
7698 ; mw. ; F.J. ;  ; Joldersma ; ouder ; Dijkgraafslag ; 27 ; Gouda ; 2805 DG ; 06-59259204 ; 0182-259204 ; Joldersma@hetweb.nl
7705 ; dhr. ; G.K. ;  ; Klopma ; ouder ; Zijdeweg ; 4 ; Reeuwijk ; 2811 PC ; 06-59367025 ; 0182-367025 ; Klopma@xs4you.nl
7712 ; mw. ; H.L. ;  ; Lemminga ; ouder ; Reeuwijkpolderplantsoen ; 14 ; Gouda ; 2807 LX ; 06-59474944 ; 0182-474944 ; Lemminga@zoggi.nl
7719 ; dhr. ; I.M. ;  ; Molnersma ; ouder ; Waterpeper ; 24 ; Gouda ; 2804 PP ; 06-59582961 ; 0182-582961 ; Molnersma@freeweb.com
7726 ; mw. ; J.P. ;  ; Piersma ; ouder ; Eerste Moordrechtse Tiendeweg ; 1 ; Gouda ; 2802 AB ; 06-59691076 ; 0182-691076 ; Piersma@gmailer.com
7733 ; dhr. ; K.R. ;  ; Retsema ; ouder ; Kervelgaarde ; 11 ; Gouda ; 2803 RH ; 06-59799289 ; 0182-799289 ; Retsema@hotmailing.com
7740 ; mw. ; L.S. ;  ; Saeckma ; ouder ; Da Costakade ; 21 ; Gouda ; 2802 VS ; 06-59907600 ; 0182-907600 ; Saeckma@planeet.nl
7747 ; dhr. ; M.S. ;  ; Sierdsema ; ouder ; Componistenlaan ; 31 ; Gouda ; 2807 HE ; 06-60016009 ; 0182-16009 ; Sierdsema@hetweb.nl
7754 ; mw. ; N.S. ;  ; Stallinga ; ouder ; Crabethpark ; 8 ; Gouda ; 2801 AP ; 06-60124516 ; 0182-124516 ; Stallinga@xs4you.nl
7761 ; dhr. ; O.T. ;  ; Teenstra ; ouder ; Wagenaarstraat ; 18 ; Gouda ; 2807 HV ; 06-60233121 ; 0182-233121 ; Teenstra@zoggi.nl
7768 ; mw. ; P.T. ; van ; Turkstra ; ouder ; Graaf Florisweg ; 28 ; Gouda ; 2805 AG ; 06-60341824 ; 0182-341824 ; Turkstra@freeweb.com
7775 ; dhr. ; Q.W. ;  ; Walsma ; ouder ; Jacob van Lennepkade ; 5 ; Gouda ; 2802 LH ; 06-60450625 ; 0182-450625 ; Walsma@gmailer.com
7782 ; mw. ; R.W. ;  ; Wijsma ; ouder ; Nansenstraat ; 15 ; Gouda ; 2806 HM ; 06-60559524 ; 0182-559524 ; Wijsma@hotmailing.com
7789 ; dhr. ; S.Z. ; Voogdt ; voogd ; ouder ; Blekerssingel ; 25 ; Gouda ; 2806 AB ; 06-60668521 ; 0182-668521 ; Zwikstra@planeet.nl
7796 ; mw. ; T.B. ; de ; Balta ; ouder ; Randenburgseweg ; 2 ; Reeuwijk ; 2811 PR ; 06-60777616 ; 0182-777616 ; Balta@hetweb.nl
7803 ; dhr. ; U.B. ;  ; Binsma ; ouder ; Sneeuwbeslaan ; 12 ; Gouda ; 2803 AD ; 06-60886809 ; 0182-886809 ; Binsma@xs4you.nl
7810 ; mw. ; V.B. ;  ; Brama ; ouder ; Zandpolderpad ; 22 ; Gouda ; 2807 NS ; 06-60996100 ; 0182-996100 ; Brama@zoggi.nl
7817 ; dhr. ; W.D. ;  ; Dijkema ; ouder ; 't Kerkestuk ; 32 ; Reeuwijk ; 2811 BG ; 06-61105489 ; 0182-105489 ; Dijkema@freeweb.com
7824 ; mw. ; X.E. ;  ; Eysinga ; ouder ; Groenhovenweg ; 9 ; Gouda ; 2803 DJ ; 06-61214976 ; 0182-214976 ; Eysinga@gmailer.com
7831 ; dhr. ; Y.G. ;  ; Gratama ; ouder ; Elzenbroek ; 19 ; Reeuwijk ; 2811 NX ; 06-61324561 ; 0182-324561 ; Gratama@hotmailing.com
7838 ; mw. ; Z.H. ;  ; Heemstra ; ouder ; Boelekade ; 29 ; Gouda ; 2806 AH ; 06-61434244 ; 0182-434244 ; Heemstra@planeet.nl
7845 ; dhr. ; A.H. ;  ; Hollema ; ouder ; Nansenstraat ; 6 ; Gouda ; 2806 HL ; 06-61544025 ; 0182-544025 ; Hollema@hetweb.nl
7852 ; mw. ; B.I. ;  ; Ipema ; ouder ; Middenmolenlaan ; 16 ; Gouda ; 2807 EB ; 06-61653904 ; 0182-653904 ; Ipema@xs4you.nl
7859 ; dhr. ; C.K. ;  ; Kempinga ; ouder ; Nieuwehaven ; 26 ; Gouda ; 2801 CW ; 06-61763881 ; 0182-763881 ; Kempinga@zoggi.nl
7866 ; mw. ; D.K. ;  ; Kundersma ; ouder ; Papaverstraat ; 3 ; Gouda ; 2803 AL ; 06-61873956 ; 0182-873956 ; Kundersma@freeweb.com
7873 ; dhr. ; E.M. ;  ; Meestra ; ouder ; Johan de Wittlaan ; 13 ; Gouda ; 2805 CM ; 06-61984129 ; 0182-984129 ; Meestra@gmailer.com
7880 ; mw. ; F.O. ;  ; Ozenga ; ouder ; Platteweg ; 23 ; Reeuwijk ; 2811 HR ; 06-62094400 ; 0182-94400 ; Ozenga@hotmailing.com
7887 ; dhr. ; G.R. ;  ; Ratsma ; ouder ; Rembrandtlaan ; 33 ; Stolwijk ; 2821 VK ; 06-62204769 ; 0182-204769 ; Ratsma@planeet.nl
7894 ; mw. ; H.R. ;  ; Roelinga ; ouder ; Waterkers ; 10 ; Gouda ; 2804 PL ; 06-62315236 ; 0182-315236 ; Roelinga@hetweb.nl
7901 ; dhr. ; I.S. ;  ; Schurenga ; ouder ; Hoflaan ; 20 ; Stolwijk ; 2821 XD ; 06-62425801 ; 0182-425801 ; Schurenga@xs4you.nl
7908 ; mw. ; J.S. ; van ; Slootstra ; ouder ; Nieuwe-Marktpassage ; 30 ; Gouda ; 2801 HV ; 06-62536464 ; 0182-536464 ; Slootstra@zoggi.nl
7915 ; dhr. ; K.S. ;  ; Stuivinga ; ouder ; Vrouwesteeg ; 7 ; Gouda ; 2801 EK ; 06-62647225 ; 0182-647225 ; Stuivinga@freeweb.com
7922 ; mw. ; L.T. ;  ; Tjallema ; ouder ; Stoofsteeg ; 17 ; Gouda ; 2801 JR ; 06-62758084 ; 0182-758084 ; Tjallema@gmailer.com
7929 ; dhr. ; M.V. ;  ; Vlasma ; ouder ; Kastanjestraat ; 27 ; Gouda ; 2803 TD ; 06-62869041 ; 0182-869041 ; Vlasma@hotmailing.com
7936 ; mw. ; N.W. ; de ; Wierda ; ouder ; Provincialeweg ; 4 ; Gouda ; 2809 RA ; 06-62980096 ; 0182-980096 ; Wierda@planeet.nl
7943 ; dhr. ; O.Z. ;  ; Zeinstra ; ouder ; Orteliuslaan ; 14 ; Gouda ; 2803 EC ; 06-63091249 ; 0182-91249 ; Zeinstra@hetweb.nl
7950 ; mw. ; P.A. ;  ; Antema ; ouder ; Beinsdorppolderweg ; 24 ; Gouda ; 2807 KR ; 06-63202500 ; 0182-202500 ; Antema@xs4you.nl
7957 ; dhr. ; Q.B. ;  ; Bergema ; ouder ; Anna van Hensbeeksingel ; 1 ; Gouda ; 2803 LP ; 06-63313849 ; 0182-313849 ; Bergema@zoggi.nl
7964 ; mw. ; R.B. ;  ; Boringa ; ouder ; Dijkgraafslag ; 11 ; Gouda ; 2805 DS ; 06-63425296 ; 0182-425296 ; Boringa@freeweb.com
7971 ; dhr. ; S.B. ;  ; Buursma ; ouder ; Vreelust ; 21 ; Gouda ; 2804 LE ; 06-63536841 ; 0182-536841 ; Buursma@gmailer.com
7978 ; mw. ; T.E. ;  ; Eijsinga ; ouder ; Bunchestraat ; 31 ; Gouda ; 2806 ZK ; 06-63648484 ; 0182-648484 ; Eijsinga@hotmailing.com
7985 ; dhr. ; U.G. ;  ; Galjema ; ouder ; Pijpenpad ; 8 ; Gouda ; 2802 BG ; 06-63760225 ; 0182-760225 ; Galjema@planeet.nl
7992 ; mw. ; V.H. ;  ; Hammersma ; ouder ; Prins Hendrikstraat ; 18 ; Gouda ; 2802 JN ; 06-63872064 ; 0182-872064 ; Hammersma@hetweb.nl
7999 ; dhr. ; W.H. ;  ; Hijdra ; ouder ; Elckerlycstraat ; 28 ; Gouda ; 2805 VR ; 06-63984001 ; 0182-984001 ; Hijdra@xs4you.nl
8006 ; mw. ; X.H. ;  ; Hyma ; ouder ; Lange Groenendaal ; 5 ; Gouda ; 2801 LS ; 06-64096036 ; 0182-96036 ; Hyma@zoggi.nl
8013 ; dhr. ; Y.J. ;  ; Jurrema ; ouder ; Beemdgras ; 15 ; Gouda ; 2804 NW ; 06-64208169 ; 0182-208169 ; Jurrema@freeweb.com
8020 ; mw. ; Z.K. ; Voogderdijk ; voogd ; ouder ; Lange Groenendaal ; 25 ; Gouda ; 2801 LT ; 06-64320400 ; 0182-320400 ; Koopstra@gmailer.com
8027 ; dhr. ; A.L. ;  ; Lodema ; ouder ; Wibautstraat ; 2 ; Gouda ; 2805 GC ; 06-64432729 ; 0182-432729 ; Lodema@hotmailing.com
8034 ; mw. ; B.N. ;  ; Nutma ; ouder ; Dahliastraat ; 12 ; Stolwijk ; 2821 VP ; 06-64545156 ; 0182-545156 ; Nutma@planeet.nl
8041 ; dhr. ; C.P. ;  ; Poortinga ; ouder ; Nijverheidsweg ; 22 ; Stolwijk ; 2821 AW ; 06-64657681 ; 0182-657681 ; Poortinga@hetweb.nl
8048 ; mw. ; D.R. ; van ; Rijpsma ; ouder ; Roemer Visscherstraat ; 32 ; Gouda ; 2802 NB ; 06-64770304 ; 0182-770304 ; Rijpsma@xs4you.nl
8055 ; dhr. ; E.S. ;  ; Schelfsma ; ouder ; Prins Mauritsstraat ; 9 ; Gouda ; 2805 AT ; 06-64883025 ; 0182-883025 ; Schelfsma@zoggi.nl
8062 ; mw. ; F.S. ;  ; Sijtema ; ouder ; Leeuwenburg ; 19 ; Gouda ; 2804 WN ; 06-64995844 ; 0182-995844 ; Sijtema@freeweb.com
8069 ; dhr. ; G.S. ;  ; Stelma ; ouder ; Schoonouwenseweg ; 29 ; Stolwijk ; 2821 NX ; 06-65108761 ; 0182-108761 ; Stelma@gmailer.com
8076 ; mw. ; H.T. ; de ; Tiedema ; ouder ; Van Itersonlaan ; 6 ; Gouda ; 2806 DE ; 06-65221776 ; 0182-221776 ; Tiedema@hotmailing.com
8083 ; dhr. ; I.V. ;  ; Veenema ; ouder ; Vogelkersgaarde ; 16 ; Gouda ; 2803 TJ ; 06-65334889 ; 0182-334889 ; Veenema@planeet.nl
8090 ; mw. ; J.W. ; van de ; Weijtsema ; ouder ; Marco Pololaan ; 26 ; Gouda ; 2803 GG ; 06-65448100 ; 0182-448100 ; Weijtsema@hetweb.nl
8097 ; dhr. ; K.W. ;  ; Woudstra ; ouder ; De Jongstraat ; 3 ; Reeuwijk ; 2811 KR ; 06-65561409 ; 0182-561409 ; Woudstra@xs4you.nl
8104 ; mw. ; L.A. ;  ; Alberga ; ouder ; Boelekade ; 13 ; Gouda ; 2806 AE ; 06-65674816 ; 0182-674816 ; Alberga@zoggi.nl
8111 ; dhr. ; M.B. ;  ; Batstra ; ouder ; Vliegenstraat ; 23 ; Gouda ; 2805 GG ; 06-65788321 ; 0182-788321 ; Batstra@freeweb.com
8118 ; mw. ; N.B. ;  ; Boerema ; ouder ; Raaphorstpolderweg ; 33 ; Gouda ; 2807 MN ; 06-65901924 ; 0182-901924 ; Boerema@gmailer.com
8125 ; dhr. ; O.B. ;  ; Bronsema ; ouder ; Douwes Dekkerstraat ; 10 ; Reeuwijk ; 2811 XK ; 06-66015625 ; 0182-15625 ; Bronsema@hotmailing.com
8132 ; mw. ; P.D. ;  ; Douwsma ; ouder ; 's-Gravenbroekseweg ; 20 ; Reeuwijk ; 2811 GK ; 06-66129424 ; 0182-129424 ; Douwsma@planeet.nl
8139 ; dhr. ; Q.F. ;  ; Flieringa ; ouder ; Brahmsstraat ; 30 ; Gouda ; 2807 SM ; 06-66243321 ; 0182-243321 ; Flieringa@hetweb.nl
8146 ; mw. ; R.H. ;  ; Haaijema ; ouder ; Goudseweg ; 7 ; Gouda ; 2808 NM ; 06-66357316 ; 0182-357316 ; Haaijema@xs4you.nl
8153 ; dhr. ; S.H. ;  ; Hellinga ; ouder ; Oranjepoldererf ; 17 ; Gouda ; 2807 NG ; 06-66471409 ; 0182-471409 ; Hellinga@zoggi.nl
8160 ; mw. ; T.H. ;  ; Horenga ; ouder ; Sporkenhoutlaan ; 27 ; Gouda ; 2803 VJ ; 06-66585600 ; 0182-585600 ; Horenga@freeweb.com
8167 ; dhr. ; U.J. ;  ; Jeninga ; ouder ; Nieuwe-Marktpassage ; 4 ; Gouda ; 2801 HW ; 06-66699889 ; 0182-699889 ; Jeninga@gmailer.com
8174 ; mw. ; V.K. ;  ; Klevringa ; ouder ; D.O.N.K.-Straat ; 14 ; Gouda ; 2802 RA ; 06-66814276 ; 0182-814276 ; Klevringa@hotmailing.com
8181 ; dhr. ; W.L. ;  ; Leeuwma ; ouder ; Spoorstraat ; 24 ; Gouda ; 2801 BA ; 06-66928761 ; 0182-928761 ; Leeuwma@planeet.nl
8188 ; mw. ; X.M. ; van ; Miedema ; ouder ; Meester D.J. van Heusdestraat ; 1 ; Gouda ; 2806 XJ ; 06-67043344 ; 0182-43344 ; Miedema@hetweb.nl
8195 ; dhr. ; Y.P. ;  ; Pentenga ; ouder ; Ronsseweg ; 11 ; Gouda ; 2803 ZN ; 06-67158025 ; 0182-158025 ; Pentenga@xs4you.nl
8202 ; mw. ; Z.R. ;  ; Renalda ; ouder ; Schubertplein ; 21 ; Gouda ; 2807 HX ; 06-67272804 ; 0182-272804 ; Renalda@zoggi.nl
8209 ; dhr. ; A.R. ;  ; Ruitinga ; ouder ; Albrechtsveld ; 31 ; Gouda ; 2804 WH ; 06-67387681 ; 0182-387681 ; Ruitinga@freeweb.com
8216 ; mw. ; B.S. ; de ; Siebma ; ouder ; Van Limburg Stirumstraat ; 8 ; Gouda ; 2805 BD ; 06-67502656 ; 0182-502656 ; Siebma@gmailer.com
8223 ; dhr. ; C.S. ;  ; Spienstra ; ouder ; Lanseloetstraat ; 18 ; Gouda ; 2805 VN ; 06-67617729 ; 0182-617729 ; Spienstra@hotmailing.com
8230 ; mw. ; D.T. ;  ; Talsma ; ouder ; Acaciaplein ; 28 ; Gouda ; 2803 WE ; 06-67732900 ; 0182-732900 ; Talsma@planeet.nl
8237 ; dhr. ; E.T. ;  ; Tsjallinga ; ouder ; Kaarde ; 5 ; Reeuwijk ; 2811 RW ; 06-67848169 ; 0182-848169 ; Tsjallinga@hetweb.nl
8244 ; mw. ; F.W. ;  ; Waarma ; ouder ; Groenhovenpark ; 15 ; Gouda ; 2803 PH ; 06-67963536 ; 0182-963536 ; Waarma@xs4you.nl
8251 ; dhr. ; G.W. ; Voogdmans ; voogd ; ouder ; Ronsseweg ; 25 ; Gouda ; 2803 ZR ; 06-68079001 ; 0182-79001 ; Wijna@zoggi.nl
8258 ; mw. ; H.Z. ;  ; Zwaagstra ; ouder ; Ouverturelaan ; 2 ; Gouda ; 2807 JV ; 06-68194564 ; 0182-194564 ; Zwaagstra@freeweb.com
8265 ; dhr. ; I.B. ;  ; Baanstra ; ouder ; Johanna Hoeve ; 12 ; Gouda ; 2804 JD ; 06-68310225 ; 0182-310225 ; Baanstra@gmailer.com
8272 ; mw. ; J.B. ;  ; Bijma ; ouder ; Burgemeester Martenssingel ; 22 ; Gouda ; 2806 CX ; 06-68425984 ; 0182-425984 ; Bijma@hotmailing.com
8279 ; dhr. ; K.B. ;  ; Boutsma ; ouder ; Prins Hendrikstraat ; 32 ; Gouda ; 2802 JE ; 06-68541841 ; 0182-541841 ; Boutsma@planeet.nl
8286 ; mw. ; L.D. ;  ; Dekinga ; ouder ; Waterruit ; 9 ; Gouda ; 2804 PB ; 06-68657796 ; 0182-657796 ; Dekinga@hetweb.nl
8293 ; dhr. ; M.E. ;  ; Enninga ; ouder ; Vredebest ; 19 ; Gouda ; 2801 AS ; 06-68773849 ; 0182-773849 ; Enninga@xs4you.nl
8300 ; mw. ; N.G. ;  ; Glastra ; ouder ; Semmelweislaan ; 29 ; Reeuwijk ; 2811 CK ; 06-68890000 ; 0182-890000 ; Glastra@zoggi.nl
8307 ; dhr. ; O.H. ;  ; Hattinga ; ouder ; Kaagjesland ; 6 ; Reeuwijk ; 2811 KL ; 06-69006249 ; 0182-6249 ; Hattinga@freeweb.com
8314 ; mw. ; P.H. ;  ; Hogema ; ouder ; Kattenburcht ; 16 ; Gouda ; 2801 BZ ; 06-69122596 ; 0182-122596 ; Hogema@gmailer.com
8321 ; dhr. ; Q.I. ;  ; IJtsma ; ouder ; Nieuwe Parkerf ; 26 ; Gouda ; 2801 RZ ; 06-69239041 ; 0182-239041 ; IJtsma@hotmailing.com
8328 ; mw. ; R.K. ; van ; Katsma ; ouder ; Frans Halsstraat ; 3 ; Stolwijk ; 2821 VE ; 06-69355584 ; 0182-355584 ; Katsma@planeet.nl
8335 ; dhr. ; S.K. ;  ; Kruizenga ; ouder ; Meerburgstraat ; 13 ; Gouda ; 2804 ZE ; 06-69472225 ; 0182-472225 ; Kruizenga@hetweb.nl
8342 ; mw. ; T.M. ;  ; Mecima ; ouder ; Van de Puttestraat ; 23 ; Gouda ; 2804 JK ; 06-69588964 ; 0182-588964 ; Mecima@xs4you.nl
8349 ; dhr. ; U.O. ;  ; Ortega ; ouder ; Kruidenburg ; 33 ; Gouda ; 2804 ZT ; 06-69705801 ; 0182-705801 ; Ortega@zoggi.nl
8356 ; mw. ; V.P. ; de ; Proemsma ; ouder ; Sophiastraat ; 10 ; Gouda ; 2805 HB ; 06-69822736 ; 0182-822736 ; Proemsma@freeweb.com
8363 ; dhr. ; W.R. ;  ; Ritzema ; ouder ; Koningin Wilhelminaweg ; 20 ; Gouda ; 2802 HW ; 06-69939769 ; 0182-939769 ; Ritzema@gmailer.com
8370 ; mw. ; X.S. ;  ; Schraa ; ouder ; Lavendelgaarde ; 30 ; Gouda ; 2803 RJ ; 06-70056900 ; 0182-56900 ; Schraa@hotmailing.com
8377 ; dhr. ; Y.S. ;  ; Sjobbema ; ouder ; Lafeberhof ; 7 ; Gouda ; 2801 CZ ; 06-70174129 ; 0182-174129 ; Sjobbema@planeet.nl
8384 ; mw. ; Z.S. ;  ; Strikwerda ; ouder ; Aalberseplein ; 17 ; Gouda ; 2805 EG ; 06-70291456 ; 0182-291456 ; Strikwerda@hetweb.nl
8391 ; dhr. ; A.T. ;  ; Timmenga ; ouder ; Ruigenburg ; 27 ; Gouda ; 2804 VS ; 06-70408881 ; 0182-408881 ; Timmenga@xs4you.nl
8398 ; mw. ; B.V. ;  ; Ververda ; ouder ; Korenbloemstraat ; 4 ; Stolwijk ; 2821 TD ; 06-70526404 ; 0182-526404 ; Ververda@zoggi.nl
8405 ; dhr. ; C.W. ;  ; Wielenga ; ouder ; Citroenvlinderstraat ; 14 ; Gouda ; 2805 KJ ; 06-70644025 ; 0182-644025 ; Wielenga@freeweb.com
8412 ; mw. ; D.Z. ;  ; Zanda ; ouder ; Graaf van Bloisstraat ; 24 ; Gouda ; 2805 RK ; 06-70761744 ; 0182-761744 ; Zanda@gmailer.com
8419 ; dhr. ; E.A. ;  ; Andersma ; ouder ; Postbus ; 1 ; Reeuwijk ; 2810 AA ; 06-70879561 ; 0182-879561 ; Andersma@hotmailing.com
8426 ; mw. ; F.B. ;  ; Belkega ; ouder ; Samuel Munckerstraat ; 11 ; Gouda ; 2806 ST ; 06-70997476 ; 0182-997476 ; Belkega@planeet.nl
8433 ; dhr. ; G.B. ;  ; Booisma ; ouder ; Nieuwehaven ; 21 ; Gouda ; 2801 CV ; 06-71115489 ; 0182-115489 ; Booisma@hetweb.nl
8440 ; mw. ; H.B. ;  ; Buntsma ; ouder ; Majoor Fransstraat ; 31 ; Gouda ; 2801 ST ; 06-71233600 ; 0182-233600 ; Buntsma@xs4you.nl
8447 ; dhr. ; I.E. ;  ; Eekema ; ouder ; Bellamystraat ; 8 ; Gouda ; 2806 RK ; 06-71351809 ; 0182-351809 ; Eekema@zoggi.nl
8454 ; mw. ; J.F. ;  ; Frietema ; ouder ; Willem en Marialaan ; 18 ; Gouda ; 2805 AS ; 06-71470116 ; 0182-470116 ; Frietema@freeweb.com
8461 ; dhr. ; K.H. ;  ; Hajema ; ouder ; Orchislaan ; 28 ; Reeuwijk ; 2811 CR ; 06-71588521 ; 0182-588521 ; Hajema@gmailer.com
8468 ; mw. ; L.H. ; van ; Hiddema ; ouder ; Lindelaan ; 5 ; Gouda ; 2803 SJ ; 06-71707024 ; 0182-707024 ; Hiddema@hotmailing.com
8475 ; dhr. ; M.H. ;  ; Hukema ; ouder ; Achter de Vismarkt ; 15 ; Gouda ; 2801 ND ; 06-71825625 ; 0182-825625 ; Hukema@planeet.nl
